iter	RMSE
0	8.693363806
1	8.570401394
2	8.450976969
3	8.337801809
4	8.228966262
5	8.126099731
6	8.029152639
7	7.93548528
8	7.846045973
9	7.75888545
10	7.67943619
11	7.602191661
12	7.527238613
13	7.456609378
14	7.388194829
15	7.323911785
16	7.261777016
17	7.206977869
18	7.152372853
19	7.099013698
20	7.0499674
21	7.001806936
22	6.955000782
23	6.909776754
24	6.86754585
25	6.828201112
26	6.791757946
27	6.755878009
28	6.720783508
29	6.686770117
30	6.657015989
31	6.627866816
32	6.598682077
33	6.570855938
34	6.544231498
35	6.519421033
36	6.495500544
37	6.474810394
38	6.453424019
39	6.432640109
40	6.413579995
41	6.395103387
42	6.377998096
43	6.361490596
44	6.346571237
45	6.331825445
46	6.3177983
47	6.304335738
48	6.291494135
49	6.278670843
50	6.266460383
51	6.255488752
52	6.244390757
53	6.233922762
54	6.224485164
55	6.215706248
56	6.207526116
57	6.199296737
58	6.191616072
59	6.18436719
60	6.17733438
61	6.170400111
62	6.16351826
63	6.156873414
64	6.150499817
65	6.144623717
66	6.139342738
67	6.133991016
68	6.129380975
69	6.123939362
70	6.119048275
71	6.11456669
72	6.110171648
73	6.106028358
74	6.102411725
75	6.098694052
76	6.09491295
77	6.091552675
78	6.088582938
79	6.085360128
80	6.082299814
81	6.079319274
82	6.076510527
83	6.073546519
84	6.07085939
85	6.068129319
86	6.066206335
87	6.064001996
88	6.061705622
89	6.059538801
90	6.057082196
91	6.055296173
92	6.05321377
93	6.050929616
94	6.049008008
95	6.047308769
96	6.045394517
97	6.044011031
98	6.042334117
99	6.04017025
100	6.038046209
101	6.03650291
102	6.035109483
103	6.033703554
104	6.032253801
105	6.030704651
106	6.029298429
107	6.028241089
108	6.026654442
109	6.025759352
110	6.024537476
111	6.023561616
112	6.022360848
113	6.021582993
114	6.020184933
115	6.019068151
116	6.01768357
117	6.016549858
118	6.015259311
119	6.013900908
120	6.012959672
121	6.01213719
122	6.010872454
123	6.009940227
124	6.00934619
125	6.008408079
126	6.007276688
127	6.006171074
128	6.005372786
