iter	Passed	Remaining
0	4	4426
1	7	3812
2	10	3552
3	13	3288
4	15	3092
5	17	2970
6	20	2863
7	22	2799
8	24	2724
9	26	2660
10	29	2618
11	31	2591
12	33	2573
13	36	2568
14	39	2567
15	41	2562
16	44	2547
17	46	2535
18	48	2528
19	51	2510
20	53	2510
21	56	2521
22	59	2508
23	61	2502
24	63	2490
25	66	2490
26	69	2502
27	71	2493
28	74	2478
29	76	2469
30	78	2457
31	80	2447
32	83	2445
33	85	2437
34	88	2429
35	90	2430
36	93	2425
37	95	2420
38	98	2419
39	100	2416
40	102	2408
41	105	2402
42	107	2397
43	109	2389
44	112	2382
45	114	2381
46	117	2376
47	119	2366
48	121	2361
49	123	2355
50	126	2346
51	128	2340
52	130	2335
53	133	2333
54	135	2327
55	137	2326
56	140	2320
57	142	2315
58	144	2311
59	147	2311
60	150	2309
61	153	2323
62	156	2322
63	158	2317
64	160	2310
65	162	2305
66	165	2303
67	167	2300
68	170	2302
69	172	2298
70	175	2293
71	177	2290
72	179	2285
73	182	2287
74	185	2283
75	187	2279
76	189	2274
77	192	2270
78	194	2266
79	196	2263
80	199	2260
81	201	2258
82	204	2255
83	206	2250
84	208	2248
85	211	2245
86	214	2246
87	216	2243
88	218	2239
89	221	2235
90	223	2229
91	225	2225
92	228	2223
93	230	2220
94	232	2215
95	234	2212
96	237	2207
97	239	2203
98	241	2198
99	243	2194
100	246	2191
101	248	2190
102	251	2188
103	253	2186
104	256	2183
105	258	2180
106	261	2178
107	263	2175
108	265	2172
109	267	2168
110	270	2164
111	272	2159
112	274	2158
113	277	2157
114	280	2156
115	282	2153
116	284	2149
117	287	2145
118	289	2142
119	291	2138
120	293	2135
121	296	2131
122	298	2129
123	300	2124
124	303	2121
125	305	2118
126	307	2117
127	310	2114
128	312	2111
129	314	2107
130	317	2105
131	319	2102
132	322	2099
133	325	2101
134	327	2100
135	330	2098
136	333	2097
137	335	2097
138	338	2095
139	340	2094
140	343	2093
141	346	2090
142	348	2089
143	351	2088
144	353	2085
145	356	2083
146	358	2082
147	361	2080
148	363	2077
149	366	2076
150	368	2074
151	371	2072
152	374	2071
153	376	2070
154	379	2068
155	382	2067
156	384	2065
157	387	2064
158	390	2064
159	393	2063
160	395	2061
161	398	2059
162	400	2057
163	403	2055
164	405	2053
165	408	2052
166	410	2049
167	413	2048
168	416	2045
169	418	2044
170	421	2043
171	424	2042
172	427	2041
173	429	2040
174	432	2038
175	435	2037
176	438	2036
177	440	2034
178	444	2036
179	446	2034
180	448	2030
181	451	2027
182	453	2024
183	456	2022
184	458	2019
185	461	2017
186	463	2015
187	466	2013
188	468	2010
189	471	2008
190	474	2007
191	477	2007
192	479	2006
193	482	2004
194	484	2001
195	487	2000
196	490	2000
197	493	2000
198	496	1997
199	498	1995
200	501	1993
201	504	1992
202	507	1990
203	509	1989
204	512	1987
205	514	1984
206	517	1981
207	520	1981
208	522	1979
209	525	1977
210	528	1975
211	531	1974
212	533	1972
213	536	1972
214	539	1970
215	542	1969
216	545	1968
217	548	1966
218	551	1966
219	554	1964
220	557	1963
221	559	1961
222	562	1959
223	565	1958
224	568	1956
225	570	1955
226	573	1953
227	576	1951
228	579	1949
229	581	1947
230	584	1945
231	587	1944
232	590	1942
233	592	1939
234	595	1937
235	597	1935
236	600	1934
237	603	1931
238	605	1928
239	608	1925
240	610	1923
241	613	1920
242	616	1919
243	619	1917
244	621	1916
245	624	1913
246	626	1910
247	629	1907
248	631	1905
249	634	1902
250	636	1900
251	639	1897
252	641	1894
253	644	1892
254	646	1888
255	649	1886
256	651	1882
257	653	1879
258	655	1876
259	658	1873
260	660	1869
